iter	Passed	Remaining
228	40106	441525
229	40282	441360
230	40461	441219
231	40641	441105
232	40844	441222
233	41027	441135
234	41190	440824
235	41366	440654
236	41544	440513
237	41711	440251
238	41881	440020
239	42047	439747
240	42223	439577
241	42505	440509
242	42755	441105
243	43046	442105
244	43272	442438
245	43497	442757
246	43734	443188
247	43965	443558
248	44149	443445
249	44332	443320
250	44501	443067
251	44689	442988
252	44858	442734
253	45027	442479
254	45201	442268
255	45388	442185
256	45556	441917
257	45729	441698
258	45902	441476
259	46076	441273
260	46281	441357
261	46462	441220
262	46639	441032
263	46815	440842
264	46989	440637
265	47166	440454
266	47322	440079
267	47478	439705
268	47632	439313
269	47787	438936
270	47965	438768
271	48147	438635
272	48326	438480
273	48497	438247
274	48663	437974
275	48834	437739
276	49006	437522
277	49177	437293
278	49350	437076
279	49522	436862
280	49691	436614
281	49862	436381
282	50030	436128
283	50211	435988
284	50385	435791
285	50565	435643
286	50740	435450
287	50920	435299
288	51097	435122
289	51274	434947
290	51446	434735
291	51624	434561
292	51794	434333
293	51965	434103
294	52135	433872
295	52308	433669
296	52482	433463
297	52651	433224
298	52825	433028
299	52997	432815
300	53178	432668
301	53374	432647
302	53551	432479
303	53721	432245
304	53894	432037
305	54077	431916
306	54249	431698
307	54414	431431
308	54595	431284
309	54775	431134
310	54952	430962
311	55132	430810
312	55306	430614
313	55491	430498
314	55668	430323
315	55843	430140
316	56007	429863
317	56178	429641
318	56355	429465
319	56529	429274
320	56711	429133
321	56875	428859
322	57052	428687
323	57216	428419
324	57394	428254
325	57568	428055
326	57739	427840
327	57906	427592
328	58078	427382
329	58243	427118
330	58406	426842
331	58571	426583
332	58739	426349
333	58911	426140
334	59089	425970
335	59254	425718
336	59421	425470
337	59597	425295
338	59772	425106
339	59948	424930
340	60124	424747
341	60294	424530
342	60472	424364
343	60645	424168
344	60818	423965
345	60996	423798
346	61164	423571
347	61337	423367
348	61516	423215
349	61682	422967
350	61856	422777
351	62023	422533
352	62199	422357
353	62369	422139
354	62558	422046
355	62735	421881
356	62900	421625
357	63077	421453
358	63253	421280
359	63428	421092
360	63601	420900
361	63773	420696
362	63945	420490
363	64117	420288
364	64290	420090
365	64461	419882
366	64640	419720
367	64814	419535
368	64996	419397
369	65168	419194
370	65342	419002
371	65519	418830
372	65686	418596
373	65859	418402
374	66033	418215
375	66210	418042
376	66386	417864
377	66563	417692
378	66732	417474
379	66909	417303
380	67094	417183
381	67262	416957
382	67431	416735
383	67607	416560
384	67781	416369
385	67951	416160
386	68123	415958
387	68292	415742
388	68464	415540
389	68645	415393
390	68827	415251
391	69004	415081
392	69177	414891
393	69348	414684
394	69523	414503
395	69697	414313
396	69868	414106
397	70040	413907
398	70219	413751
